nro;ubigeo;region;provincia;distrito;centro_poblado;2g;3g;4g;5g;lat;lon
1;101010001;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CHACHAPOYAS;;;SI;;-6.229413511;-77.87249747
2;101010012;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;EL MOLINO;;SI;;;-6.2468;-77.8878
3;101010013;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;EL ALFALFAR;;SI;;;-6.24399;-77.87915
4;102010052;AMAZONAS;BAGUA;BAGUA;PALMIRA;;SI;;;-5.62514;-78.51568
5;101190010;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;SANTA ROSA;;SI;;;-6.32837;-77.87634
6;101110017;AMAZONAS;CHACHAPOYAS;LEVANTO;HERMITA;;SI;;;-6.30351;-77.89816
7;101110024;AMAZONAS;CHACHAPOYAS;LEVANTO;PAULAPAMPA;;SI;;;-6.28782;-77.85266
8;101110028;AMAZONAS;CHACHAPOYAS;LEVANTO;YUTAPINA;;SI;;;-6.29583;-77.8768
9;101110029;AMAZONAS;CHACHAPOYAS;LEVANTO;SAN PEDRO;;SI;;;-6.29888;-77.88729
10;101110030;AMAZONAS;CHACHAPOYAS;LEVANTO;PUYAN;;SI;;;-6.30221;-77.87853
11;101110035;AMAZONAS;CHACHAPOYAS;LEVANTO;LLAULLETAN;;SI;;;-6.29687;-77.89509
12;101190049;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;CORRALPAMPA;;SI;;;-6.33628;-77.88385
13;101190084;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;ISHPINGO;;SI;;;-6.31674;-77.8784
14;102010001;AMAZONAS;BAGUA;BAGUA;BAGUA;;;SI;;-5.63911795;-78.53167081
15;102060019;AMAZONAS;BAGUA;LA PECA;NUEVA FLORIDA;;SI;;;-5.59945;-78.43934
16;102060021;AMAZONAS;BAGUA;LA PECA;MIRAVALLES;;SI;;;-5.5973;-78.44762
17;102060022;AMAZONAS;BAGUA;LA PECA;SANTA ROSA;;SI;;;-5.6081;-78.43329
18;102010027;AMAZONAS;BAGUA;BAGUA;LAS JUNTAS;;SI;;;-5.64502;-78.55161
19;102060001;AMAZONAS;BAGUA;LA PECA;LA PECA;;;SI;;-5.612279477;-78.43731572
20;102060038;AMAZONAS;BAGUA;LA PECA;TRANQUILLA;;SI;;;-5.61476;-78.42213
21;102060040;AMAZONAS;BAGUA;LA PECA;GUAYAQUIL;;SI;;;-5.63296;-78.43644
22;102060041;AMAZONAS;BAGUA;LA PECA;ALMENDRAL;;;SI;;-5.6262;-78.4397
23;101110007;AMAZONAS;CHACHAPOYAS;LEVANTO;CUENGUIMIA;;SI;;;-6.30506;-77.90458
24;101110008;AMAZONAS;CHACHAPOYAS;LEVANTO;HUILLCA LOMO;;SI;;;-6.2997;-77.88989
25;101110009;AMAZONAS;CHACHAPOYAS;LEVANTO;QUILLOCRUZ;;SI;;;-6.311335;-77.894515
26;101110010;AMAZONAS;CHACHAPOYAS;LEVANTO;COLLACRUZ;;SI;;;-6.3083;-77.90598
27;103050009;AMAZONAS;BONGARA;CUISPES;PIZARRO;;SI;;;-5.89865;-77.95645
28;103050010;AMAZONAS;BONGARA;CUISPES;BULUCNA;;SI;;;-5.9116126;-77.93837
29;103050011;AMAZONAS;BONGARA;CUISPES;HUARANGOPATA;;SI;;;-5.92024;-77.95074
30;103050012;AMAZONAS;BONGARA;CUISPES;GOCMA;;SI;;;-5.90445;-77.93699
31;102030004;AMAZONAS;BAGUA;COPALLIN;PALMA CEDRAL;;SI;;;-5.65325;-78.38962
32;102030005;AMAZONAS;BAGUA;COPALLIN;LA PALMA;;SI;;;-5.65325;-78.38965
33;102030007;AMAZONAS;BAGUA;COPALLIN;MONTE DE LOS OLIVOS;;SI;;;-5.66444;-78.34636
34;102030008;AMAZONAS;BAGUA;COPALLIN;SANTA CRUZ DE MOROCHAL;;SI;;;-5.66257;-78.3601
35;102030012;AMAZONAS;BAGUA;COPALLIN;LIRIO DE LOS VALLES;;SI;;;-5.67374;-78.36989
36;102030018;AMAZONAS;BAGUA;COPALLIN;PAN DE AZUCAR;;SI;;;-5.67062;-78.38848
37;102030031;AMAZONAS;BAGUA;COPALLIN;SAN JOSE BAJO;;SI;;;-5.71353;-78.40541
38;102040008;AMAZONAS;BAGUA;EL PARCO;SAN JOSE;;SI;;;-5.6379;-78.45721
39;103010001;AMAZONAS;BONGARA;JUMBILLA;JUMBILLA;;;SI;;-5.904344496;-77.79813844
40;103050013;AMAZONAS;BONGARA;CUISPES;AGUAS CALIENTES;;SI;;;-5.92487;-77.9492
41;103050014;AMAZONAS;BONGARA;CUISPES;RAMOS;;SI;;;-5.93428;-77.95966
42;103050017;AMAZONAS;BONGARA;CUISPES;MITOPAMPA;;;SI;;-5.93919;-77.96298
43;103050018;AMAZONAS;BONGARA;CUISPES;SAN FRANCISCO;;SI;;;-5.94718;-77.95073
44;103050021;AMAZONAS;BONGARA;CUISPES;TAYAPAMPA;;SI;;;-5.9142;-77.94886
45;103050022;AMAZONAS;BONGARA;CUISPES;POTRERO;;SI;;;-5.91904;-77.94695
46;103060001;AMAZONAS;BONGARA;FLORIDA;FLORIDA (POMACOCHAS);;;SI;;-5.826190718;-77.96913887
47;103060022;AMAZONAS;BONGARA;FLORIDA;CARRERA;;SI;;;-5.872156667;-77.95622
48;103070001;AMAZONAS;BONGARA;JAZAN;PEDRO RUIZ GALLO;;;SI;;-5.949911214;-77.9791927
49;103070004;AMAZONAS;BONGARA;JAZAN;BARRIO SALINAS;;;SI;;-5.93417;-77.97782
