,nro,ubigeo,region,provincia,distrito,centro_poblado,lat,lon,tecnologia
0,1,101010001,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS,-6.229413511,-77.87249747,4g
1,2,101010012,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,EL MOLINO,-6.2468,-77.8878,3g
2,3,101010013,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,EL ALFALFAR,-6.24399,-77.87915,3g
3,4,102010052,AMAZONAS,BAGUA,BAGUA,PALMIRA,-5.62514,-78.51568,3g
4,5,101190010,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SANTA ROSA,-6.32837,-77.87634,3g
5,6,101110017,AMAZONAS,CHACHAPOYAS,LEVANTO,HERMITA,-6.30351,-77.89816,3g
6,7,101110024,AMAZONAS,CHACHAPOYAS,LEVANTO,PAULAPAMPA,-6.28782,-77.85266,3g
7,8,101110028,AMAZONAS,CHACHAPOYAS,LEVANTO,YUTAPINA,-6.29583,-77.8768,3g
8,9,101110029,AMAZONAS,CHACHAPOYAS,LEVANTO,SAN PEDRO,-6.29888,-77.88729,3g
9,10,101110030,AMAZONAS,CHACHAPOYAS,LEVANTO,PUYAN,-6.30221,-77.87853,3g
10,11,101110035,AMAZONAS,CHACHAPOYAS,LEVANTO,LLAULLETAN,-6.29687,-77.89509,3g
11,12,101190049,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,CORRALPAMPA,-6.33628,-77.88385,3g
12,13,101190084,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,ISHPINGO,-6.31674,-77.8784,3g
13,14,102010001,AMAZONAS,BAGUA,BAGUA,BAGUA,-5.63911795,-78.53167081,4g
14,15,102060019,AMAZONAS,BAGUA,LA PECA,NUEVA FLORIDA,-5.59945,-78.43934,3g
15,16,102060021,AMAZONAS,BAGUA,LA PECA,MIRAVALLES,-5.5973,-78.44762,3g
16,17,102060022,AMAZONAS,BAGUA,LA PECA,SANTA ROSA,-5.6081,-78.43329,3g
17,18,102010027,AMAZONAS,BAGUA,BAGUA,LAS JUNTAS,-5.64502,-78.55161,3g
18,19,102060001,AMAZONAS,BAGUA,LA PECA,LA PECA,-5.612279477,-78.43731572,4g
19,20,102060038,AMAZONAS,BAGUA,LA PECA,TRANQUILLA,-5.61476,-78.42213,3g
20,21,102060040,AMAZONAS,BAGUA,LA PECA,GUAYAQUIL,-5.63296,-78.43644,3g
21,22,102060041,AMAZONAS,BAGUA,LA PECA,ALMENDRAL,-5.6262,-78.4397,4g
22,23,101110007,AMAZONAS,CHACHAPOYAS,LEVANTO,CUENGUIMIA,-6.30506,-77.90458,3g
23,24,101110008,AMAZONAS,CHACHAPOYAS,LEVANTO,HUILLCA LOMO,-6.2997,-77.88989,3g
24,25,101110009,AMAZONAS,CHACHAPOYAS,LEVANTO,QUILLOCRUZ,-6.311335,-77.894515,3g
